en,meaning_en,meaning_ja,meaning_zh,meaning_fr,meaning_de,meaning_es,meaning_it,meaning_pt,meaning_ru,meaning_ar,meaning_hi
arbitration,"Settlement of dispute by neutral third party.","仲裁; 中立的な第三者による紛争解決。","仲裁; 中立第三方解决争议。","Arbitrage; règlement de différend par un tiers neutre.","Schiedsverfahren; Streitbeilegung durch neutrale dritte Partei.","Arbitraje; resolución de disputas por tercero neutral.","Arbitrato; risoluzione di controversie da parte terza neutrale.","Arbitragem; resolução de disputa por terceiro neutro.","Арбитраж; урегулирование спора нейтральной третьей стороной.","تحكيم; تسوية النزاع من قبل طرف ثالث محايد.","मध्यस्थता; तटस्थ तीसरे पक्ष द्वारा विवाद का समाधान।"
archer,"Person who shoots arrows with bow.","射手; 弓で矢を射る人。","弓箭手; 用弓射箭的人。","Archer; personne qui tire des flèches avec un arc.","Bogenschütze; Person, die Pfeile mit einem Bogen schießt.","Arquero; persona que dispara flechas con arco.","Arciere; persona che tira frecce con l'arco.","Arqueiro; pessoa que atira flechas com arco.","Лучник; человек, стреляющий стрелами из лука.","رامي السهام; شخص يرمي السهام بالقوس.","धनुर्धर; धनुष से तीर चलाने वाला व्यक्ति।"
architect,"Designer of buildings and structures.","建築家; 建物や構造物の設計者。","建筑师; 建筑和结构的设计师。","Architecte; concepteur de bâtiments et de structures.","Architekt; Planer von Gebäuden und Strukturen.","Arquitecto; diseñador de edificios y estructuras.","Architetto; progettista di edifici e strutture.","Arquiteto; projetista de edifícios e estruturas.","Архитектор; проектировщик зданий и сооружений.","مهندس معماري; مصمم المباني والهياكل.","वास्तुकार; इमारतों और संरचनाओं का डिजाइनर।"
architecture,"Art and science of building design.","建築; 建物設計の芸術と科学。","建筑学; 建筑设计的艺术和科学。","Architecture; art et science de la conception de bâtiments.","Architektur; Kunst und Wissenschaft der Gebäudeplanung.","Arquitectura; arte y ciencia del diseño de edificios.","Architettura; arte e scienza della progettazione di edifici.","Arquitetura; arte e ciência do design de edifícios.","Архитектура; искусство и наука проектирования зданий.","هندسة معمارية; فن وعلم تصميم المباني.","वास्तुकला; भवन डिज़ाइन की कला और विज्ञान।"
arctic,"Extremely cold northern polar region.","北極; 極めて寒い北方の極地。","北极; 极其寒冷的北方极地。","Arctique; région polaire nord extrêmement froide.","Arktis; extrem kalte nördliche Polarregion.","Ártico; región polar norte extremadamente fría.","Artico; regione polare settentrionale estremamente fredda.","Ártico; região polar norte extremamente fria.","Арктика; крайне холодный северный полярный регион.","القطب الشمالي; المنطقة القطبية الشمالية شديدة البرودة.","आर्कटिक; अत्यधिक ठंडा उत्तरी ध्रुवीय क्षेत्र।"
area,"Region; space; zone; territory.","地域; 空間; 区域; 領域。","区域; 空间; 地带; 领土。","Zone; espace; région; territoire.","Gebiet; Raum; Zone; Territorium.","Área; espacio; zona; territorio.","Area; spazio; zona; territorio.","Área; espaço; zona; território.","Область; пространство; зона; территория.","منطقة; مساحة; نطاق; إقليم.","क्षेत्र; स्थान; क्षेत्र; प्रदेश।"
argument,"Debate; discussion; reasoning; dispute.","議論; 討論; 推論; 論争。","论证; 争论; 推理; 争议。","Argument; débat; discussion; raisonnement; dispute.","Argument; Debatte; Diskussion; Begründung; Streit.","Argumento; debate; discusión; razonamiento; disputa.","Argomento; dibattito; discussione; ragionamento; disputa.","Argumento; debate; discussão; raciocínio; disputa.","Аргумент; дебаты; дискуссия; рассуждение; спор.","حجة; جدال; نقاش; استدلال; نزاع.","तर्क; वाद-विवाद; चर्चा; तर्कना; विवाद।"
aristocracy,"Highest social class; nobility; ruling elite.","貴族制; 最上位の社会階級; 貴族; 支配層。","贵族制; 最高社会阶层; 贵族; 统治精英。","Aristocratie; classe sociale la plus élevée; noblesse; élite dirigeante.","Aristokratie; höchste Gesellschaftsschicht; Adel; herrschende Elite.","Aristocracia; clase social más alta; nobleza; élite gobernante.","Aristocrazia; classe sociale più alta; nobiltà; élite dirigente.","Aristocracia; classe social mais alta; nobreza; elite governante.","Аристократия; высший социальный класс; знать; правящая элита.","أرستقراطية; الطبقة الاجتماعية الأعلى; النبلاء; النخبة الحاكمة.","कुलीनतंत्र; उच्चतम सामाजिक वर्ग; कुलीन; शासक वर्ग।"
arizona,"Southwestern state of United States.","アリゾナ; アメリカ合衆国南西部の州。","亚利桑那; 美国西南部的州。","Arizona; État du sud-ouest des États-Unis.","Arizona; südwestlicher Bundesstaat der Vereinigten Staaten.","Arizona; estado del suroeste de Estados Unidos.","Arizona; stato del sud-ovest degli Stati Uniti.","Arizona; estado do sudoeste dos Estados Unidos.","Аризона; юго-западный штат США.","أريزونا; ولاية في جنوب غرب الولايات المتحدة.","एरिज़ोना; संयुक्त राज्य अमेरिका का दक्षिण-पश्चिमी राज्य।"
arm,"Upper limb of human body; weapon.","腕; 人体の上肢; 武器。","手臂; 人体的上肢; 武器。","Bras; membre supérieur du corps humain; arme.","Arm; obere Gliedmaße des menschlichen Körpers; Waffe.","Brazo; extremidad superior del cuerpo humano; arma.","Braccio; arto superiore del corpo umano; arma.","Braço; membro superior do corpo humano; arma.","Рука; верхняя конечность человеческого тела; оружие.","ذراع; الطرف العلوي للجسم البشري; سلاح.","बांह; मानव शरीर का ऊपरी अंग; हथियार।"
armament,"Military weapons and equipment.","軍備; 軍事兵器と装備。","军备; 军事武器和装备。","Armement; armes et équipements militaires.","Bewaffnung; militärische Waffen und Ausrüstung.","Armamento; armas y equipos militares.","Armamento; armi e attrezzature militari.","Armamento; armas e equipamentos militares.","Вооружение; военное оружие и оборудование.","تسليح; أسلحة ومعدات عسكرية.","शस्त्रागार; सैन्य हथियार और उपकरण।"
armor,"Protective covering worn in combat.","鎧; 戦闘で着用する保護カバー。","盔甲; 战斗中穿戴的防护装备。","Armure; revêtement protecteur porté au combat.","Rüstung; Schutzbedeckung im Kampf getragen.","Armadura; cubierta protectora usada en combate.","Armatura; copertura protettiva indossata in combattimento.","Armadura; cobertura protetora usada em combate.","Броня; защитное покрытие, носимое в бою.","درع; غطاء واقي يُرتدى في القتال.","कवच; युद्ध में पहना जाने वाला सुरक्षा आवरण।"
army,"Organized military force; large group.","軍隊; 組織化された軍事力; 大集団。","军队; 有组织的军事力量; 大集团。","Armée; force militaire organisée; grand groupe.","Armee; organisierte Militärmacht; große Gruppe.","Ejército; fuerza militar organizada; gran grupo.","Esercito; forza militare organizzata; grande gruppo.","Exército; força militar organizada; grande grupo.","Армия; организованная военная сила; большая группа.","جيش; قوة عسكرية منظمة; مجموعة كبيرة.","सेना; संगठित सैन्य बल; बड़ा समूह।"
arrangement,"Organization; preparation; agreement.","配置; 組織; 準備; 合意。","安排; 组织; 准备; 协议。","Arrangement; organisation; préparation; accord.","Anordnung; Organisation; Vorbereitung; Vereinbarung.","Arreglo; organización; preparación; acuerdo.","Disposizione; organizzazione; preparazione; accordo.","Arranjo; organização; preparação; acordo.","Устройство; организация; подготовка; соглашение.","ترتيب; تنظيم; إعداد; اتفاق.","व्यवस्था; संगठन; तैयारी; समझौता।"
array,"Impressive display; ordered arrangement.","配列; 印象的な展示; 秩序ある配置。","数组; 令人印象深刻的展示; 有序排列。","Éventail; affichage impressionnant; arrangement ordonné.","Reihe; beeindruckende Darstellung; geordnete Anordnung.","Conjunto; exhibición impresionante; disposición ordenada.","Schieramento; esibizione impressionante; disposizione ordinata.","Conjunto; exibição impressionante; arranjo ordenado.","Массив; впечатляющая демонстрация; упорядоченное расположение.","مصفوفة; عرض مثير للإعجاب; ترتيب منظم.","सरणी; प्रभावशाली प्रदर्शन; व्यवस्थित व्यवस्था।"
arrival,"Act of coming; reaching destination.","到着; 来ること; 目的地に着くこと。","到达; 到来的行为; 到达目的地。","Arrivée; acte de venir; atteindre la destination.","Ankunft; Akt des Kommens; Ziel erreichen.","Llegada; acto de venir; alcanzar el destino.","Arrivo; atto di venire; raggiungere la destinazione.","Chegada; ato de vir; alcançar o destino.","Прибытие; акт прихода; достижение пункта назначения.","وصول; فعل المجيء; الوصول إلى الوجهة.","आगमन; आने की क्रिया; गंतव्य तक पहुंचना।"
arrow,"Pointed projectile shot from bow.","矢; 弓から射られる尖った発射物。","箭; 从弓射出的尖头弹丸。","Flèche; projectile pointu tiré d'un arc.","Pfeil; spitzes Geschoss aus einem Bogen geschossen.","Flecha; proyectil puntiagudo disparado desde arco.","Freccia; proiettile appuntito scagliato da un arco.","Flecha; projétil pontiagudo atirado de arco.","Стрела; остроконечный снаряд, выпущенный из лука.","سهم; قذيفة مدببة تُطلق من القوس.","तीर; धनुष से छोड़ा जाने वाला नुकीला प्रक्षेप्य।"
arsenal,"Collection of weapons; storage facility.","兵器庫; 武器の集合; 貯蔵施設。","军火库; 武器收藏; 储存设施。","Arsenal; collection d'armes; installation de stockage.","Arsenal; Waffensammlung; Lagereinrichtung.","Arsenal; colección de armas; instalación de almacenamiento.","Arsenale; collezione di armi; impianto di stoccaggio.","Arsenal; coleção de armas; instalação de armazenamento.","Арсенал; коллекция оружия; складское помещение.","ترسانة; مجموعة من الأسلحة; مرفق تخزين.","शस्त्रागार; हथियारों का संग्रह; भंडारण सुविधा।"
art,"Creative expression; skill; artistic work.","芸術; 創造的表現; 技能; 芸術作品。","艺术; 创造性表达; 技能; 艺术作品。","Art; expression créative; compétence; œuvre artistique.","Kunst; kreativer Ausdruck; Fertigkeit; künstlerisches Werk.","Arte; expresión creativa; habilidad; obra artística.","Arte; espressione creativa; abilità; opera artistica.","Arte; expressão criativa; habilidade; obra artística.","Искусство; творческое выражение; мастерство; художественное произведение.","فن; تعبير إبداعي; مهارة; عمل فني.","कला; रचनात्मक अभिव्यक्ति; कौशल; कलात्मक कार्य।"
article,"Item; piece of writing; grammatical word.","記事; 項目; 文章の一部; 文法用語。","文章; 项目; 一段写作; 语法词。","Article; élément; morceau d'écriture; mot grammatical.","Artikel; Gegenstand; Schreibstück; grammatisches Wort.","Artículo; elemento; pieza de escritura; palabra gramatical.","Articolo; elemento; pezzo di scrittura; parola grammaticale.","Artigo; item; peça de escrita; palavra gramatical.","Артикль; предмет; письменное произведение; грамматическое слово.","مقال; بند; قطعة كتابة; كلمة نحوية.","लेख; वस्तु; लेखन का टुकड़ा; व्याकरण शब्द।"
artillery,"Large military guns; heavy weapons.","砲兵; 大型軍用銃; 重武器。","大炮; 大型军用枪械; 重武器。","Artillerie; gros canons militaires; armes lourdes.","Artillerie; große Militärgeschütze; schwere Waffen.","Artillería; cañones militares grandes; armas pesadas.","Artiglieria; grandi cannoni militari; armi pesanti.","Artilharia; grandes canhões militares; armas pesadas.","Артиллерия; крупные военные орудия; тяжёлое оружие.","مدفعية; مدافع عسكرية كبيرة; أسلحة ثقيلة.","तोपखाना; बड़ी सैन्य बंदूकें; भारी हथियार।"
artist,"Creator of art; skilled performer.","芸術家; 芸術の創造者; 熟練した演奏者。","艺术家; 艺术创作者; 技艺精湛的表演者。","Artiste; créateur d'art; interprète qualifié.","Künstler; Kunstschöpfer; geschickter Darsteller.","Artista; creador de arte; intérprete hábil.","Artista; creatore d'arte; interprete qualificato.","Artista; criador de arte; intérprete habilidoso.","Художник; творец искусства; умелый исполнитель.","فنان; خالق الفن; مؤدي ماهر.","कलाकार; कला का निर्माता; कुशल प्रदर्शनकर्ता।"
ascent,"Act of climbing or going up.","上昇; 登ること; 上がること。","上升; 攀登或向上的行为。","Ascension; acte de grimper ou monter.","Aufstieg; Akt des Kletterns oder Hinaufgehens.","Ascenso; acto de escalar o subir.","Ascesa; atto di scalare o salire.","Subida; ato de escalar ou subir.","Восхождение; акт подъёма или восхождения.","صعود; فعل التسلق أو الصعود.","चढ़ाई; चढ़ने या ऊपर जाने की क्रिया।"
ash,"Powdery residue left after burning.","灰; 燃焼後に残る粉状の残留物。","灰; 燃烧后留下的粉状残留物。","Cendre; résidu poudreux laissé après combustion.","Asche; pulveriger Rückstand nach dem Brennen.","Ceniza; residuo pulverulento dejado tras la quema.","Cenere; residuo polveroso lasciato dopo la combustione.","Cinza; resíduo pulverulento deixado após queima.","Зола; порошкообразный остаток после сгорания.","رماد; بقايا مسحوقية تُترك بعد الحرق.","राख; जलने के बाद बचा हुआ चूर्ण अवशेष।"
asia,"Largest continent on Earth.","アジア; 地球上最大の大陸。","亚洲; 地球上最大的大陆。","Asie; plus grand continent de la Terre.","Asien; größter Kontinent der Erde.","Asia; continente más grande de la Tierra.","Asia; continente più grande della Terra.","Ásia; maior continente da Terra.","Азия; крупнейший континент на Земле.","آسيا; أكبر قارة على الأرض.","एशिया; पृथ्वी पर सबसे बड़ा महाद्वीप।"
aspect,"Side; part; appearance; viewpoint.","側面; 部分; 外観; 視点。","方面; 部分; 外观; 观点。","Aspect; côté; partie; apparence; point de vue.","Aspekt; Seite; Teil; Erscheinung; Standpunkt.","Aspecto; lado; parte; apariencia; punto de vista.","Aspetto; lato; parte; apparenza; punto di vista.","Aspecto; lado; parte; aparência; ponto de vista.","Аспект; сторона; часть; внешность; точка зрения.","جانب; جزء; مظهر; وجهة نظر.","पहलू; पक्ष; भाग; रूप; दृष्टिकोण।"
aspiration,"Hope or ambition of achieving something.","願望; 何かを達成する希望や野心。","渴望; 实现某事的希望或雄心。","Aspiration; espoir ou ambition de réaliser quelque chose.","Bestrebung; Hoffnung oder Ehrgeiz, etwas zu erreichen.","Aspiración; esperanza o ambición de lograr algo.","Aspirazione; speranza o ambizione di raggiungere qualcosa.","Aspiração; esperança ou ambição de alcançar algo.","Стремление; надежда или амбиция достичь чего-либо.","تطلع; أمل أو طموح لتحقيق شيء ما.","आकांक्षा; कुछ हासिल करने की आशा या महत्वाकांक्षा।"
aspirin,"Common pain-relieving medication.","アスピリン; 一般的な鎮痛薬。","阿司匹林; 常见的止痛药。","Aspirine; médicament analgésique courant.","Aspirin; gängiges schmerzlinderndes Medikament.","Aspirina; medicamento analgésico común.","Aspirina; farmaco analgesico comune.","Aspirina; medicamento analgésico comum.","Аспирин; распространённое болеутоляющее лекарство.","أسبرين; دواء مسكن للألم شائع.","एस्पिरिन; आम दर्द निवारक दवा।"
assault,"Violent attack; aggressive action.","暴行; 暴力的攻撃; 攻撃的行動。","攻击; 暴力袭击; 激进行动。","Agression; attaque violente; action agressive.","Angriff; gewalttätiger Angriff; aggressive Handlung.","Asalto; ataque violento; acción agresiva.","Aggressione; attacco violento; azione aggressiva.","Assalto; ataque violento; ação agressiva.","Нападение; насильственная атака; агрессивное действие.","اعتداء; هجوم عنيف; عمل عدواني.","हमला; हिंसक आक्रमण; आक्रामक कार्रवाई।"
assembly,"Gathering of people; legislative body.","集会; 人々の集まり; 立法機関。","集会; 人们的聚集; 立法机构。","Assemblée; rassemblement de personnes; organe législatif.","Versammlung; Menschenansammlung; gesetzgebendes Organ.","Asamblea; reunión de personas; órgano legislativo.","Assemblea; riunione di persone; organo legislativo.","Assembleia; reunião de pessoas; órgão legislativo.","Собрание; сбор людей; законодательный орган.","جمعية; تجمع من الناس; هيئة تشريعية.","सभा; लोगों का जमावड़ा; विधायी निकाय।"
assessment,"Evaluation; judgment; appraisal.","評価; 査定; 判断; 鑑定。","评估; 评价; 判断; 评定。","Évaluation; jugement; évaluation; estimation.","Bewertung; Beurteilung; Einschätzung.","Evaluación; juicio; valoración.","Valutazione; giudizio; stima.","Avaliação; julgamento; avaliação.","Оценка; суждение; оценивание.","تقييم; حكم; تقدير.","मूल्यांकन; निर्णय; आंकलन।"
asset,"Resource; valuable possession; advantage.","資産; 資源; 価値ある所有物; 利点。","资产; 资源; 宝贵财产; 优势。","Actif; ressource; possession précieuse; avantage.","Vermögenswert; Ressource; wertvoller Besitz; Vorteil.","Activo; recurso; posesión valiosa; ventaja.","Bene; risorsa; possesso prezioso; vantaggio.","Ativo; recurso; posse valiosa; vantagem.","Актив; ресурс; ценное имущество; преимущество.","أصل; مورد; ممتلكات قيمة; ميزة.","संपत्ति; संसाधन; मूल्यवान संपत्ति; फायदा।"
assignment,"Task; duty; homework; job.","課題; 割り当て; 義務; 宿題; 仕事。","任务; 作业; 职责; 工作。","Devoir; tâche; mission; travail à la maison.","Aufgabe; Pflicht; Hausaufgabe; Arbeit.","Tarea; deber; asignación; trabajo.","Compito; dovere; incarico; lavoro.","Tarefa; dever; trabalho de casa; trabalho.","Задание; обязанность; домашнее задание; работа.","مهمة; واجب; فرض منزلي; عمل.","कार्य; कर्तव्य; गृहकार्य; नौकरी।"
assistant,"Helper; aide; supporter; deputy.","助手; アシスタント; 援助者; 支援者; 副手。","助手; 助理; 支持者; 副手。","Assistant; aide; soutien; adjoint.","Assistent; Helfer; Unterstützer; Stellvertreter.","Asistente; ayudante; partidario; suplente.","Assistente; aiutante; sostenitore; vice.","Assistente; ajudante; apoiador; deputado.","Помощник; помощник; сторонник; заместитель.","مساعد; مساعد; مؤيد; نائب.","सहायक; मददगार; समर्थक; सहायक।"
associate,"Partner; colleague; companion; ally.","仲間; パートナー; 同僚; 伴侶; 同盟者。","伙伴; 同事; 同伴; 盟友。","Associé; partenaire; collègue; compagnon; allié.","Partner; Kollege; Begleiter; Verbündeter.","Socio; compañero; colega; aliado.","Socio; partner; collega; compagno; alleato.","Associado; parceiro; colega; companheiro; aliado.","Партнёр; коллега; товарищ; союзник.","شريك; زميل; رفيق; حليف.","सहयोगी; साझेदार; सहकर्मी; साथी; मित्र।"
association,"Organization; group; connection; relationship.","協会; 組織; グループ; 関係; 関連。","协会; 组织; 团体; 联系; 关系。","Association; organisation; groupe; connexion; relation.","Verein; Organisation; Gruppe; Verbindung; Beziehung.","Asociación; organización; grupo; conexión; relación.","Associazione; organizzazione; gruppo; connessione; relazione.","Associação; organização; grupo; conexão; relacionamento.","Ассоциация; организация; группа; связь; отношение.","جمعية; منظمة; مجموعة; اتصال; علاقة.","संघ; संगठन; समूह; कनेक्शन; संबंध।"
assortment,"Miscellaneous collection of things.","詰め合わせ; 雑多な物の集合。","各种各样; 各种事物的混合收集。","Assortiment; collection diverse de choses.","Sortiment; verschiedenartige Sammlung von Dingen.","Surtido; colección variada de cosas.","Assortimento; collezione varia di cose.","Sortimento; coleção variada de coisas.","Ассортимент; разнообразная коллекция вещей.","تشكيلة; مجموعة متنوعة من الأشياء.","मिश्रण; चीजों का विविध संग्रह।"
assumption,"Belief accepted without proof.","仮定; 証拠なしに受け入れられた信念。","假设; 未经证明而接受的信念。","Supposition; croyance acceptée sans preuve.","Annahme; ohne Beweis akzeptierter Glaube.","Suposición; creencia aceptada sin prueba.","Supposizione; convinzione accettata senza prove.","Suposição; crença aceita sem prova.","Предположение; убеждение, принятое без доказательств.","افتراض; اعتقاد يُقبل دون دليل.","धारणा; बिना सबूत के स्वीकार किया गया विश्वास।"
assurance,"Confidence; certainty; guarantee; insurance.","保証; 確信; 確実性; 保険。","保证; 信心; 确定性; 保险。","Assurance; confiance; certitude; garantie; assurance.","Versicherung; Vertrauen; Gewissheit; Garantie.","Seguridad; confianza; certeza; garantía; seguro.","Assicurazione; fiducia; certezza; garanzia.","Garantia; confiança; certeza; seguro.","Уверенность; уверенность; гарантия; страхование.","ضمان; ثقة; يقين; تأمين.","आश्वासन; विश्वास; निश्चितता; गारंटी; बीमा।"
asteroid,"Small rocky object orbiting sun.","小惑星; 太陽の周りを回る小さな岩石天体。","小行星; 围绕太阳运行的小型岩石天体。","Astéroïde; petit objet rocheux en orbite autour du soleil.","Asteroid; kleiner felsiger Himmelskörper, der die Sonne umkreist.","Asteroide; pequeño objeto rocoso que orbita el sol.","Asteroide; piccolo oggetto roccioso in orbita attorno al sole.","Asteroide; pequeno objeto rochoso orbitando o sol.","Астероид; небольшой каменистый объект, вращающийся вокруг солнца.","كويكب; جسم صخري صغير يدور حول الشمس.","क्षुद्रग्रह; सूर्य की परिक्रमा करने वाला छोटा चट्टानी पिंड।"
astonishment,"Great surprise or amazement.","驚嘆; 大きな驚きや驚き。","惊讶; 极大的惊讶或惊奇。","Étonnement; grande surprise ou émerveillement.","Erstaunen; große Überraschung oder Verwunderung.","Asombro; gran sorpresa o asombro.","Stupore; grande sorpresa o meraviglia.","Espanto; grande surpresa ou admiração.","Изумление; большое удивление или изумление.","دهشة; مفاجأة كبيرة أو إعجاب.","आश्चर्य; बड़ा आश्चर्य या अचंभा।"
astrology,"Study of celestial bodies influence on human affairs.","占星術; 天体の人間事象への影響の研究。","占星学; 研究天体对人类事务影响的学科。","Astrologie; étude de l'influence des corps célestes sur les affaires humaines.","Astrologie; Studium des Einflusses von Himmelskörpern auf menschliche Angelegenheiten.","Astrología; estudio de la influencia de los cuerpos celestes en los asuntos humanos.","Astrologia; studio dell'influenza dei corpi celesti sugli affari umani.","Astrologia; estudo da influência dos corpos celestes nos assuntos humanos.","Астрология; изучение влияния небесных тел на человеческие дела.","علم التنجيم; دراسة تأثير الأجرام السماوية على الشؤون البشرية.","ज्योतिष; मानव मामलों पर खगोलीय पिंडों के प्रभाव का अध्ययन।"
astronaut,"Person trained to travel in spacecraft.","宇宙飛行士; 宇宙船での旅行のために訓練された人。","宇航员; 接受过宇宙飞船旅行训练的人。","Astronaute; personne formée pour voyager dans un vaisseau spatial.","Astronaut; Person, die für Reisen in einem Raumfahrzeug ausgebildet ist.","Astronauta; persona entrenada para viajar en naves espaciales.","Astronauta; persona addestrata per viaggiare in veicoli spaziali.","Astronauta; pessoa treinada para viajar em espaçonaves.","Астронавт; человек, обученный путешествовать в космических кораблях.","رائد فضاء; شخص مدرب للسفر في المركبات الفضائية.","अंतरिक्ष यात्री; अंतरिक्ष यान में यात्रा करने के लिए प्रशिक्षित व्यक्ति।"
astronomy,"Study of celestial objects and space.","天文学; 天体と宇宙の研究。","天文学; 对天体和太空的研究。","Astronomie; étude des objets célestes et de l'espace.","Astronomie; Studium von Himmelskörpern und dem Weltraum.","Astronomía; estudio de objetos celestes y el espacio.","Astronomia; studio degli oggetti celesti e dello spazio.","Astronomia; estudo de objetos celestes e espaço.","Астрономия; изучение небесных объектов и космоса.","علم الفلك; دراسة الأجرام السماوية والفضاء.","खगोल विज्ञान; खगोलीय पिंडों और अंतरिक्ष का अध्ययन।"
astrophysics,"Branch of astronomy dealing with physical properties.","天体物理学; 物理的性質を扱う天文学の分野。","天体物理学; 天文学中处理物理性质的分支。","Astrophysique; branche de l'astronomie traitant des propriétés physiques.","Astrophysik; Zweig der Astronomie, der sich mit physikalischen Eigenschaften beschäftigt.","Astrofísica; rama de la astronomía que trata las propiedades físicas.","Astrofisica; ramo dell'astronomia che tratta le proprietà fisiche.","Astrofísica; ramo da astronomia que trata propriedades físicas.","Астрофизика; раздел астрономии, изучающий физические свойства.","فيزياء فلكية; فرع من علم الفلك يتعامل مع الخصائص الفيزيائية.","खगोल भौतिकी; खगोल विज्ञान की शाखा जो भौतिक गुणों से निपटती है।"
asylum,"Protection granted to political refugees.","亡命; 政治難民に与えられる保護。","庇护; 给予政治难民的保护。","Asile; protection accordée aux réfugiés politiques.","Asyl; Schutz für politische Flüchtlinge gewährt.","Asilo; protección otorgada a refugiados políticos.","Asilo; protezione concessa ai rifugiati politici.","Asilo; proteção concedida a refugiados políticos.","Убежище; защита, предоставляемая политическим беженцам.","لجوء; حماية تُمنح للاجئين السياسيين.","शरण; राजनीतिक शरणार्थियों को दी जाने वाली सुरक्षा।"
atlas,"Book of maps; collection of charts.","地図帳; 地図の本; チャートの集合。","地图集; 地图书; 图表集合。","Atlas; livre de cartes; collection de graphiques.","Atlas; Kartenbuch; Sammlung von Karten.","Atlas; libro de mapas; colección de gráficos.","Atlante; libro di mappe; raccolta di carte.","Atlas; livro de mapas; coleção de cartas.","Атлас; книга карт; коллекция схем.","أطلس; كتاب خرائط; مجموعة من الرسوم البيانية.","एटलस; मानचित्रों की पुस्तक; चार्ट का संग्रह।"
atmosphere,"Air surrounding Earth; mood; environment.","大気; 地球を取り囲む空気; 雰囲気; 環境。","大气; 围绕地球的空气; 气氛; 环境。","Atmosphère; air entourant la Terre; ambiance; environnement.","Atmosphäre; die Erde umgebende Luft; Stimmung; Umgebung.","Atmósfera; aire que rodea la Tierra; ambiente; entorno.","Atmosfera; aria che circonda la Terra; atmosfera; ambiente.","Atmosfera; ar que circunda a Terra; clima; ambiente.","Атмосфера; воздух, окружающий Землю; настроение; среда.","غلاف جوي; الهواء المحيط بالأرض; جو; بيئة.","वायुमंडल; पृथ्वी को घेरने वाली हवा; माहौल; पर्यावरण।"
atom,"Smallest unit of matter; basic building block.","原子; 物質の最小単位; 基本構成要素。","原子; 物质的最小单位; 基本构建块。","Atome; plus petite unité de matière; bloc de construction de base.","Atom; kleinste Einheit der Materie; grundlegender Baustein.","Átomo; unidad más pequeña de materia; bloque de construcción básico.","Atomo; unità più piccola della materia; blocco di costruzione di base.","Átomo; menor unidade da matéria; bloco de construção básico.","Атом; мельчайшая единица материи; основной строительный блок.","ذرة; أصغر وحدة من المادة; الوحدة الأساسية للبناء.","परमाणु; पदार्थ की सबसे छोटी इकाई; मूल निर्माण खंड।"
atrocity,"Extremely cruel or brutal act.","残虐行為; 極めて残酷または野蛮な行為。","暴行; 极其残酷或野蛮的行为。","Atrocité; acte extrêmement cruel ou brutal.","Gräueltat; extrem grausame oder brutale Handlung.","Atrocidad; acto extremadamente cruel o brutal.","Atrocità; atto estremamente crudele o brutale.","Atrocidade; ato extremamente cruel ou brutal.","Зверство; крайне жестокий или брутальный акт.","فظاعة; عمل قاس أو وحشي للغاية.","अत्याचार; अत्यंत क्रूर या बर्बर कार्य।"
attachment,"Affection; bond; additional part; accessory.","愛着; 絆; 追加部品; 付属品。","依恋; 纽带; 附加部分; 配件。","Attachement; affection; lien; partie supplémentaire; accessoire.","Bindung; Zuneigung; Verbindung; zusätzlicher Teil; Zubehör.","Apego; afecto; vínculo; parte adicional; accesorio.","Attaccamento; affetto; legame; parte aggiuntiva; accessorio.","Apego; afeição; vínculo; parte adicional; acessório.","Привязанность; привязанность; связь; дополнительная часть; аксессуар.","تعلق; عاطفة; رابطة; جزء إضافي; ملحق.","लगाव; स्नेह; बंधन; अतिरिक्त हिस्सा; सहायक उपकरण।"
attack,"Assault; aggressive action; criticism.","攻撃; 襲撃; 攻撃的行動; 批判。","攻击; 袭击; 激进行动; 批评。","Attaque; agression; action agressive; critique.","Angriff; Überfall; aggressive Handlung; Kritik.","Ataque; agresión; acción agresiva; crítica.","Attacco; aggressione; azione aggressiva; critica.","Ataque; agressão; ação agressiva; crítica.","Атака; нападение; агрессивное действие; критика.","هجوم; اعتداء; عمل عدواني; نقد.","हमला; आक्रमण; आक्रामक कार्रवाई; आलोचना।"
attainment,"Achievement; accomplishment; acquisition.","達成; 成就; 獲得; 習得。","成就; 成就; 获得; 习得。","Réalisation; accomplissement; acquisition.","Erreichung; Leistung; Erwerb.","Logro; realización; adquisición.","Conseguimento; realizzazione; acquisizione.","Conquista; realização; aquisição.","Достижение; свершение; приобретение.","إنجاز; تحقيق; اكتساب.","प्राप्ति; उपलब्धि; अधिग्रहण।"
attendance,"Action of being present; participation.","出席; 存在すること; 参加。","出席; 在场的行为; 参与。","Présence; action d'être présent; participation.","Anwesenheit; Handlung des Präsentseins; Teilnahme.","Asistencia; acción de estar presente; participación.","Presenza; azione di essere presente; partecipazione.","Presença; ação de estar presente; participação.","Присутствие; действие присутствия; участие.","حضور; فعل التواجد; مشاركة.","उपस्थिति; उपस्थित रहने की क्रिया; भागीदारी।"
attendant,"Person providing service to others.","付添人; 他人にサービスを提供する人。","服务员; 为他人提供服务的人。","Préposé; personne fournissant un service à autrui.","Begleiter; Person, die anderen Dienstleistungen erbringt.","Asistente; persona que brinda servicio a otros.","Inserviente; persona che fornisce servizi ad altri.","Atendente; pessoa que fornece serviço a outros.","Служащий; человек, оказывающий услуги другим.","مرافق; شخص يقدم الخدمة للآخرين.","परिचारक; दूसरों को सेवा प्रदान करने वाला व्यक्ति।"
