en,meaning_en,example_en
zeppelin,Large airship,
zero,Number 0,
zest,Enthusiasm,
zip,Fastener,
zit,Skin blemish,
zodiac,Astrological system,
zone,Area,
zoo,place with caged animals,
zoom,To move quickly,
zucchini,Green squash vegetable,
doughnut,A ring-shaped fried sweet pastry.,
downsizing,Reducing company size by eliminating jobs.,
downstairs,On or to a lower floor,
downturn,A decline in activity or fortune.,
doze,To sleep lightly,
drag,To pull along the ground,
drain,A channel for carrying away liquid.,
drawback,A disadvantage or problem,
dread,Great fear or apprehension.,
dressing,Sauce for salads or wound covering.,
drift,To be carried slowly by current.,
drip,A small drop of liquid,
drone,An unmanned aircraft,
droop,To bend or hang downward,
dusk,The darker stage of twilight.,
dwarf,A person of unusually small stature.,
dynamic,Characterized by constant change.,
e-commerce,Commercial transactions via internet.,
e-mail,Electronic mail,
earnest,Showing sincere conviction.,
earnings,Money obtained from work or investment.,
earring,Piece of jewelry worn on the ear.,
easter,Christian festival celebrating resurrection.,
eastward,Toward the east,
ebb,Movement of tide away from shore.,
eccentricity,Quality of being unconventional.,
eclipse,Obscuring of celestial body.,
ecology,Study of organisms and environment.,
economist,Expert in economics,
ecosystem,Biological community and environment.,
edible,Safe and suitable for eating,
eggplant,Purple vegetable with soft flesh.,
egypt,Country in northeastern Africa.,
eighteen,Number equivalent to 18,
eighth,Ordinal number for 8,
eightieth,Ordinal number for 80,
eighty,Number equivalent to 80,
elaboration,Development with more detail.,
elastic,Able to resume shape after stretching.,
elect,Person chosen by vote,
electric,Relating to electricity,
electrolysis,Chemical decomposition by electric current.,
electrolyte,Substance that conducts electricity.,
electromagnet,Magnet powered by electric current.,
electromagnetism,Interaction of electric and magnetic fields.,
electron,Negatively charged particle in atom.,
elegance,Quality of being graceful and stylish.,
eleven,Number equivalent to 11,
eleventh,Ordinal number for 11,
elite,Most skilled or privileged group.,
ellipsis,Omission of words from speech or writing.,
elm,Deciduous tree with serrated leaves.,
embarrassment,Feeling of awkwardness or shame.,
embodiment,Representation in physical form.,
emigration,Act of leaving one's country permanently.,
eminence,Fame or recognized superiority.,
enactment,Process of passing legislation.,
enclosure,Area surrounded by barrier.,
encore,Repeated performance by popular demand.,
encouragement,Action of giving support or confidence.,
fringe,Decorative border of threads.,
frog,Tailless amphibian with long hind legs.,
frontier,Border between two countries.,
frost,Thin layer of ice crystals.,
fuck,Vulgar slang for sexual intercourse.,
fume,Gas or vapor that smells strongly.,
fundamental,Basic principle or rule,
fungus,Organism that feeds on organic matter.,
funk,State of depression or bad mood.,
funny,Causing laughter or amusement.,
fur,Thick hair of animal,
furrow,Long narrow trench in ground.,
fury,Wild or violent anger,
fuse,Safety device that prevents overload.,
fusion,Process of joining or blending.,
fuss,Unnecessary worry or bother.,
galaxy,System of stars and planets.,
gale,Very strong wind,
gallery,Room for displaying art,
gallop,Fastest pace of horse,
gamble,Play games of chance for money.,
ganges,Sacred river in India,
gape,Stare with mouth open,
gargle,Wash throat with liquid,
garlic,Strong-smelling bulb used in cooking.,
garment,Item of clothing,
gateway,Entrance or opening,
gathering,Assembly of people,
gaze,Look steadily and intently.,
geek,Person obsessed with technology.,
gem,A precious or semi-precious stone,
gene,Unit of heredity in living organisms.,
general,High-ranking military officer.,
generality,Statement or principle lacking detail.,
generalization,General statement from specific cases.,
generosity,Quality of being generous,
genesis,Origin or beginning,
genetics,Study of heredity,
genius,Exceptional intellectual ability.,
genome,Complete set of DNA,
gentleman,Polite or refined man,
gentry,People of good social position.,
geography,Study of earth's features,
geology,Science of earth's structure.,
germ,Microorganism causing disease.,
german,Person from Germany,
gesture,Movement of body to express meaning.,
ghost,Spirit of dead person,
giant,Creature of great size,
gibbon,Small ape with long arms,
gig,Live performance by musician.,
gin,Alcoholic spirit flavored with juniper.,
ginger,Spicy root used in cooking.,
giraffe,Tall African mammal with long neck.,
glacier,Slow-moving mass of ice,
glare,Strong dazzling light,
glee,Feeling of joy and excitement.,
glitter,Shine brightly with flashing light.,
globe,Spherical model of earth,
gloom,Partial darkness or sadness.,
glory,Magnificence or honor,
glossy,Smooth and shiny surface,
glove,Covering for hand with fingers.,
glow,Steady light without flame.,
glue,Sticky substance for joining things.,
go,Movement,
goat,Hardy domesticated mammal,
goddess,A female deity,
goldfish,Small orange ornamental fish.,
goods,Merchandise or possessions.,
goodwill,Friendly or helpful attitude.,
goose,Large waterfowl with long neck.,
gorge,Narrow valley with steep sides.,
gorilla,Largest living primate,
gospel,Teaching of Jesus Christ,
gossip,Casual talk about other people.,
governor,Elected head of state,
gown,Long dress worn on formal occasions.,
grace,Elegance of movement or manner.,
graduation,Successful completion of course.,
grain,Seeds from cereal plants,
gram,Metric unit of mass,
grammar,Rules of language structure.,
grand,Large and impressive,
grandparent,Parent of one's father or mother.,
grape,Small round fruit growing in clusters.,
grapefruit,Large citrus fruit,
grasp,Grip firmly with hand,
grasshopper,Jumping insect with long hind legs.,
gratification,Pleasure from satisfaction of desire.,
gratitude,Quality of being thankful,
grave,Place where dead body is buried.,
gravel,Small stones used for paths.,
gravity,Force that attracts objects downward.,
gravy,Sauce made from meat juices.,
gray,Color between black and white.,
graze,Feed on growing grass,
grazing,Feeding on grass in field,
great,Of large size or extent,
greek,Person from Greece,
green,The color green,
greenhouse,Glass building for growing plants.,
greeting,Polite word of welcome,
grenade,Small explosive device,
greyhound,Slender racing dog,
grid,Framework of parallel lines.,
grief,Deep sorrow from loss,
grind,Reduce to powder by crushing.,
grip,Firm hold with hand,
grocery,Food and household goods,
gross,Total amount before deductions.,
grotesque,Comically distorted in appearance.,
grove,Small group of trees,
grub,Larva of insect,
grumble,Complain in low voice,
guarantee,Formal promise of quality,
guideline,General rule or principle,
guild,Association of craftsmen,
guitar,Stringed musical instrument.,
guitarist,Person who plays guitar,
gum,Sticky substance or tissue in mouth.,
gun,Weapon that fires bullets,
gunshot,Firing of gun or wound,
gush,Flow rapidly in large quantity.,
gust,Sudden strong wind,
gut,Stomach or intestine,
gutter,Channel for rainwater,
gym,Room for physical exercise.,
gymnastics,Exercises developing agility.,
hail,Pellets of frozen rain,
half-life,Time for radioactive decay.,
halt,To bring to a stop,
ham,Meat from pig's leg,
hamburger,Sandwich with meat patty,
hammer,Tool for hitting nails,
hamster,Small rodent with cheek pouches.,
handicraft,Activity requiring manual skill.,
handkerchief,Small cloth for wiping nose.,
hang,Suspend from above,
hangover,Illness after drinking alcohol.,
harassment,Aggressive pressure or intimidation.,
harbor,Sheltered port for ships,
hardness,Quality of being hard,
hardship,Severe suffering or privation.,
hardy,Capable of enduring harsh conditions.,
hare,Fast-running mammal with long ears.,
harmonica,Small wind instrument,
harmony,Pleasing arrangement of parts.,
harp,Musical instrument with strings.,
harry,Persistently harass or attack.,
harvest,Gathering of ripe crops,
hatred,Intense dislike,
haul,Pull or drag with effort,
have,To possess or own,
hawaii,US state consisting of islands.,
hawk,Bird of prey with curved beak.,
hay,Dried grass used as fodder.,
hazard,a potential source of harm or peril.,
haze,Fine dust or smoke in air,
headache,A pain or ache in the head,
heading,Title at top of page,
headline,Title of newspaper article.,
headquarters,Main offices of organization.,
healing,Process of becoming healthy.,
heath,Area of uncultivated land,
heather,Evergreen shrub with small flowers.,
heave,Lift with great effort,
heel,Back part of foot,
helm,Steering wheel of ship,
hen,"Adult female chicken, typically kept for laying eggs.",
herald,Official messenger who makes public announcements.,
herb,"Plant used for food, medicine, or fragrance.",
herbicide,Chemical substance used to kill unwanted plants.,
herd,Group of animals living or moving together.,
hereafter,the future.,
heritage,Property or traditions passed down through generations.,
heroic,Having the characteristics of a hero,
heroine,Woman admired for courage or noble qualities.,
herring,Silver fish commonly eaten as food.,
hertz,Unit of frequency equal to one cycle per second.,
hick,Unsophisticated person from rural area.,
hide,Animal skin or place of concealment.,
hierarchy,System of organization with levels of authority.,
high,Height,
highland,Mountainous region,
highness,Title used to address royalty.,
highway,Main road for fast traffic between cities.,
hike,Long walk in countryside or wilderness.,
hiking,Activity of going on long walks in nature.,
hindrance,Thing that provides resistance or delay.,
hip,Joint connecting leg to torso,
hiss,Sharp sibilant sound like angry snake.,
historian,Person who writes or studies history.,
hockey,Team sport played with sticks and puck/ball.,
hoe,Garden tool for breaking up soil.,
hog,"Pig, especially one kept for meat.",
holiness,State of being holy or sacred.,
hollywood,American film industry center in California.,
holocaust,Destruction or slaughter on mass scale.,
holy,Dedicated to God,
homage,Special honor or respect shown publicly.,
homework,School assignments done at home.,
homicide,Deliberate killing of another person.,
honesty,Quality of being truthful and sincere.,
honeymoon,Holiday taken by newly married couple.,
hood,Covering for head,
hoodie,Casual sweatshirt with attached hood.,
hook,Curved fastening device,
hop,Jump on one foot,
horizon,Line where earth meets sky.,
hormone,Chemical messenger in living organisms.,
horn,Hard projection on animal head,
hose,Flexible tube for conveying water.,
hospitality,Friendly reception and treatment of guests.,
hostage,Person held captive for ransom or demands.,
hostility,Aggressive or unfriendly behavior.,
hot,Heat,
household,House and its occupants as unit.,
housekeeping,Management of household affairs.,
housewife,A woman who manages household affairs,
housework,Tasks for household upkeep,
how,The manner or way something is done,
hue,A color or shade,
hum,"A low, continuous, droning sound.",
humanism,Philosophical stance emphasizing human value and rational thinking.,
humanity,The human race collectively.,
humility,The quality of being humble and modest,
hundred,The number 100,
hundredth,The ordinal number corresponding to one hundred.,
hunter,"A person who hunts wild animals for food, sport, or pest control.",
hunting,"The activity of pursuing and killing wild animals, typically for food or sport.",
hurdle,An obstacle to overcome,
hurricane,Severe tropical storm with strong winds,
hydrangea,"A flowering shrub with large clusters of white, blue, pink, or purple flowers.",
hydrogen,Lightest chemical element in universe,
hydroxide,Chemical compound with hydroxyl group,
hymn,"A religious song of praise or worship, typically sung by a choir or congregation.",
hypocrisy,Claiming moral standards while behaving otherwise,
hypothesis,A proposed explanation or theory that can be tested through.,
iceberg,Large ice mass floating in ocean,
ideal,A conception of something perfect,
idiom,Expression with non-literal meaning,
idleness,The state of being inactive or not working,
idol,An object of worship,
ignition,The action of setting something on fire or starting an engine.,
ill,Sickness or disease,
illumination,Lighting or light,
illusion,A false perception or belief,
illustration,A drawing or picture that explains or decorates text.,
imitation,The action of copying someone or something,
immigration,The action of coming to live permanently in a foreign country.,
immortal,something that will be remembered forever.,
immunity,Protection from disease or legal prosecution,
impeachment,The process of removing a public official from office for misconduct.,
imperative,Something that is extremely important or urgent,
imperfect,Not perfect,
imperfection,A fault or defect,
imperial,Related to an empire or emperor,
impetus,The force that makes something happen or happen more quickly,
implement,A tool or piece of equipment,
imposition,The action of imposing something unwelcome,
impossibility,The state of being impossible,
imprisonment,The state of being confined in prison,
impulse,A sudden desire or urge to act,
in,A preposition indicating location within something,
inadequacy,The state of being insufficient or not good enough for a purpose.,
inauguration,start of political term.,
incarceration,The state of being imprisoned,
incentive,Something that motivates or encourages someone to take action.,
incidence,The rate of occurrence of something.,
incidental,Something that happens as a result of something else,
inclination,A tendency to do something,
inclusion,The action of including someone or something as part of a whole.,
incoming,Arriving or about to arrive,
inconsistency,The state of being inconsistent,
inconvenience,A state or example of problems or trouble.,
india,A country in South Asia,
indian,A person from India,
indictment,A formal charge or accusation of a serious crime.,
indignity,Treatment or circumstances that cause one to feel shame or to lose dignity.,
individuality,The quality or character that distinguishes one person from others,
induction,The process of bringing about or giving rise to something,
indulgence,The practice of allowing oneself to enjoy pleasures,
inefficiency,The state of not achieving maximum productivity,
inequality,lack of equality.,
inevitable,Something that is certain to happen,
infancy,The state or period of being an infant,
infant,"A very young child, especially one newly born.",
infantry,the branch of an army consisting of foot soldiers.,
inference,A conclusion reached based on evidence and reasoning.,
infinite,"Limitless or endless in space, extent, or size",
infinity,The state or quality of being infinite.,
inflammation,Body part becoming swollen and painful,
influenza,Viral respiratory infection causing fever and aches.,
influx,An arrival or entry of large numbers of people or things.,
infrastructure,Basic structures needed for society operation,
infringement,"The action of breaking the terms of a law, agreement, or right.",
ingredient,Any of the foods or substances that are combined to make a dish or product.,
inhabitant,A person or animal that lives in or occupies a place.,
inheritance,Money or property received from deceased person,
initiation,The action of admitting someone into a secret or obscure society or group.,
injection,An instance of injecting or being injected with a substance.,
injustice,Lack of fairness or justice,
ink,"A colored fluid used for writing, drawing, or printing.",
inn,"A small hotel, typically in the country.",
inning,Each of the divisions of a game during which both sides have a turn at bat.,
innocence,"The state, quality, or fact of being innocent of a crime or offense.",
inscription,"Words inscribed, especially as a formal or permanent record.",
insecticide,A substance used for killing insects.,
insecurity,lack of confidence.,
inside,The inner side or part of something,
insolvency,The state of being unable to pay debts owed.,
inspector,An official employed to ensure that official regulations are obeyed.,
installment,A sum of money due as one of several equal payments for something.,
instant,A very brief moment of time,
instinct,"An innate, typically fixed pattern of behavior",
institute,"An organization for education, research, or professional purposes.",
insulator,A substance that does not readily allow the passage of heat or sound.,
insult,A disrespectful or scornfully abusive remark or action.,
insurgent,A person fighting against a government or invading force,
insurrection,A violent uprising against an authority or government.,
intake,"An amount of food, air, or another substance taken into the body.",
intellect,The faculty of reasoning and understanding objectively.,
interchange,The action of exchanging or swapping things.,
interim,The intervening time,
interjection,"An abrupt remark, especially as an aside or interruption.",
intermission,A pause or break in activity.,
internal,Of or situated on the inside.,
interruption,The action of interrupting or being interrupted.,
intersection,A point where two or more things intersect.,
intimacy,Close familiarity or friendship,
intimate,Closely acquainted,
intuition,"The ability to understand something immediately, without conscious reasoning.",
invalid,A person made weak or disabled by illness or injury.,
invention,The action of inventing something or the process of being invented.,
inventor,A person who invented a particular process or device.,
inventory,"A complete list of items such as property, goods in stock.",
investigation,The action of investigating something or someone.,
investor,A person or organization that puts money into financial ventures.,
invoice,"A list of goods sent or services provided, with a statement of the sum due.",
inward,Directed or proceeding toward the inside.,
ion,An atom or molecule with a net electric charge.,
ireland,Island in North Atlantic,
iris,"A flat, colored, ring-shaped membrane behind the cornea of the eye.",
irish,Relating to Ireland or its people or language.,
irony,The expression of meaning through the use of language signifying the opposite.,
irrelevance,The quality or state of being irrelevant.,
irrigation,The artificial application of water to land for growing crops.,
irritation,"The state of feeling annoyed, impatient, or angry.",
islam,"The religion of the Muslims, revealed through Muhammad.",
isle,"An island, especially a small one.",
italian,"A native or citizen of Italy, or a person of Italian descent.",
italic,Denoting a typeface in which the letters slant to the right.,
kangaroo,A large plant-eating marsupial with a long powerful tail.,
keep,The strongest or central tower of a castle.,
kernel,"A softer, usually edible part of a nut, seed, or fruit stone.",
ketchup,A smooth sauce made chiefly from tomatoes.,
kettle,A container used for boiling water.,
keynote,A prevailing tone or central theme.,
kidney,Each of a pair of organs that filter waste products from the blood.,
kilometer,"A metric unit of measurement equal to 1,000 meters.",
kimchi,A Korean dish of spicy fermented cabbage.,
kindness,"The quality of being friendly, generous, or considerate.",
kingdom,"A country, state, or territory ruled by a king or queen.",
kinship,Blood relationship,
kit,A set of articles or equipment needed for a specific purpose.,
kite,A toy consisting of a light frame covered with thin material.,
kitten,A young domestic cat,
kitty,A kitten or young cat,
klutz,A clumsy or awkward person.,
knight,A medieval warrior or person given a honorary title by a monarch.,
knitting,The craft of creating fabric by interlocking loops of yarn with needles.,
knockoff,"An imitation or copy of something, typically of inferior quality.",
knot,A fastening made by looping and tying rope or string.,
knuckle,A joint of a finger,
koala,A tree-dwelling marsupial native to Australia.,
korea,"A peninsula in East Asia, divided into North and South Korea.",
korean,A person from Korea or the Korean language.,
label,A piece of paper or material attached to identify or describe something.,
laboratory,A room or building equipped for scientific experiments.,
lace,Delicate fabric made of threads woven in intricate patterns.,
ladder,A structure with rungs used for climbing up or down.,
lamb,A young sheep,
lance,A long spear used by mounted warriors.,
landing,A platform at the top of stairs or where aircraft touches ground.,
landmine,An explosive device buried in the ground.,
landscape,The visible features of an area of land.,
liberty,The state of being free from oppression or control.,
lick,A single stroke of the tongue.,
licorice,A sweet black candy flavored with anise.,
lid,A removable cover for a container.,
lieutenant,A military rank below captain.,
lightning,A natural electrical discharge during storms.,
like,A preference or something similar.,
likeness,Resemblance or similarity in appearance.,
lilac,A fragrant purple or white flowering shrub.,
lily,A plant with large trumpet-shaped flowers.,
limb,An arm or leg of a person or animal.,
lime,A green citrus fruit,
limitation,A restriction or constraint.,
limp,A way of walking unevenly due to injury.,
lining,A layer of material covering the inside of something.,
lion,A large wild cat known as the king of beasts.,
lip,Either of the fleshy parts forming the edge of the mouth.,
lipstick,A cosmetic product used to color the lips.,
liquid,A substance that flows freely but is incompressible.,
liquor,"Alcoholic drink, especially spirits.",
listen,Listening,
listener,A person who listens,
litigation,The process of taking legal action.,
litter,Trash scattered in public places or a group of young animals.,
liver,A large organ that processes toxins in the body.,
livestock,Farm animals kept for use or profit.,
lizard,A cold-blooded reptile with four legs and a long tail.,
llama,A South American pack animal related to the camel.,
load,A heavy or bulky thing being carried.,
loaf,A shaped mass of bread baked as a single unit.,
lobster,A large marine crustacean with claws.,
local,A person living in a particular area.,
locality,An area or neighborhood,
locker,A small lockable compartment for storage.,
locust,A grasshopper that can form destructive swarms.,
logistics,The organization of moving and supplying resources.,
maker,A person or thing that makes something.,
makeup,Cosmetics applied to enhance appearance.,
malt,Grain that has been processed for brewing or distilling.,
mammal,A warm-blooded vertebrate that feeds milk to its young.,
mammoth,An extinct elephant-like creature or something very large.,
mandate,An official order or commission to do something.,
mango,A tropical fruit with sweet orange flesh.,
mania,Mental illness marked by excitement or an obsession.,
manifestation,An event or display that clearly shows something.,
mankind,Human beings collectively,
manufacture,The making of articles on a large scale using machinery.,
manure,Animal dung used for fertilizing land.,
many,A large number of people or things.,
maple,A tree known for its distinctive leaves and syrup.,
marathon,A long-distance running race.,
marble,A hard crystalline rock used in sculpture.,
mare,An adult female horse,
margin,"An edge or border, or an amount by which something is won.",
marine,Related to the sea or a member of naval forces.,
marketing,The promotion and selling of products or services.,
marketplace,An area where commercial dealings are conducted.,
maroon,A dark brownish-red color,
marrow,The soft tissue inside bones.,
mars,The fourth planet from the sun.,
marsh,An area of low-lying land that is flooded.,
marvel,A wonderful or astonishing person or thing.,
maryland,A state in the eastern United States.,
masculine,Having qualities traditionally associated with men.,
mask,A covering worn on the face for disguise or protection.,
mass,A large body of matter or a religious service.,
massage,The rubbing of muscles and joints to relieve tension.,
master,A man in authority or someone highly skilled.,
masterpiece,A work of outstanding artistry or skill.,
mastery,Comprehensive knowledge of a subject.,
mat,A piece of material used as a floor covering.,
math,"The study of numbers, shapes, and patterns.",
mathematics,"The abstract science of number, quantity, and space.",
michigan,A state in the Great Lakes region of the United States.,
microbiology,The study of microscopic organisms.,
microeconomics,The study of economic behavior of individuals and firms.,
microorganism,A microscopic organism,
microscope,An instrument for viewing very small objects.,
midnight,Twelve o'clock at night,
midst,The middle part or point,
midway,In the middle of a journey or process.,
migration,Movement from one place to another.,
mile,"A unit of distance equal to 1,609 meters.",
mileage,The number of miles traveled or fuel efficiency.,
milieu,A person's social environment.,
military,The armed forces of a country.,
mill,A building with machinery for processing materials.,
millennium,A period of one thousand years.,
million,"The number 1,000,000",
millionth,One part in a million,
mine,An excavation for extracting minerals.,
mineral,A naturally occurring inorganic substance.,
miniature,A thing that is much smaller than normal.,
mining,The extraction of minerals from the ground.,
minister,A government official or religious leader.,
ministry,A government department or religious work.,
mink,A small carnivorous mammal with valuable fur.,
minority,The smaller number or part.,
mint,A place where money is made or an aromatic plant.,
miracle,A surprising and welcome event attributed to divine intervention.,
mischief,Playful misbehavior or trouble caused by someone.,
misdemeanor,A minor wrongdoing or petty crime.,
misery,A state of great distress or discomfort.,
misfortune,Bad luck or an unfortunate condition.,
missile,A weapon that is fired or thrown at a target.,
missionary,A person sent on a religious mission.,
mississippi,A state in the southern United States.,
missouri,A state in the Midwestern United States.,
mist,A cloud of tiny water droplets in the air.,
mister,A title used before a man's name.,
mitosis,A type of cell division,
mitt,A type of glove that covers four fingers together.,
mixer,A machine for combining ingredients.,
ms,A title for a woman regardless of marital status.,
mule,The offspring of a male donkey and female horse.,
multimedia,Using several different methods of communication.,
multitude,A large number of people or things.,
murderer,A person who commits murder.,
muse,A person who inspires an artist.,
museum,A building displaying objects of historical interest.,
mushroom,A fungal growth with a stem and cap.,
musical,Related to music or a theatrical performance with songs.,
musician,A person who plays musical instruments or composes music.,
muskrat,A large aquatic rodent,
muslim,A follower of the religion of Islam.,
must,Something that is necessary or required.,
mustard,A pungent yellow condiment.,
mutation,A change in genetic material.,
mutter,To speak in a low voice,
mystery,Something that is difficult to understand or explain.,
myth,A traditional story explaining natural phenomena.,
mythology,A collection of myths or the study of myths.,
naan,A type of flatbread from South Asian cuisine.,
nap,A short sleep during the day.,
narration,The telling of a story,
narrative,A spoken or written account of events.,
narrow,A confined or restricted space.,
nationalism,Patriotic feeling or devotion to one's country.,
nationalist,A person who advocates for national independence.,
nationality,The status of belonging to a particular nation.,
nationalization,The transfer of industry from private to state ownership.,
nausea,A feeling of sickness with an inclination to vomit.,
navy,The branch of armed services that conducts warfare at sea.,
necessary,Something that is required or essential.,
necessity,The fact of being required or indispensable.,
needle,A thin pointed metal implement used for sewing.,
negative,Something that is harmful or undesirable.,
neon,A chemical element used in bright signs.,
neptune,The eighth planet from the sun.,
nerd,A person devoted to intellectual pursuits.,
nerve,A fiber that carries impulses in the body.,
open,Opening,
opera,A dramatic work set to music.,
oppression,Cruel or unjust treatment or control.,
optics,The study of light and vision.,
orange,A round citrus fruit with orange skin.,
orbit,The curved path of an object around a star or planet.,
orchard,An area of land devoted to growing fruit trees.,
orchestra,A large group of musicians playing together.,
orchid,A type of exotic flower,
ordeal,A painful or horrific experience.,
ordinance,A local law or regulation,
organ,A part of the body with a specific function.,
organism,An individual living being.,
orient,The eastern part of the world.,
oriental,A person from East Asia,
orientation,The determination of position or direction.,
original,The first version of something.,
ornament,A decorative object,
ostrich,A large flightless bird native to Africa.,
ounce,A unit of weight equal to about 28 grams.,
out,A way of escape or exit,
outbreak,A sudden occurrence of disease or violence.,
outcry,A strong expression of public disapproval.,
outfit,A set of clothes worn together.,
outlay,An amount of money spent,
outlet,A point where something can be released or sold.,
outrage,An extremely strong reaction of anger.,
outset,The beginning of something.,
overall,A loose-fitting garment worn over regular clothes.,
overcoat,A long warm coat worn over other clothing.,
overdraft,A deficit in a bank account caused by drawing more money than is available.,
overhead,The ongoing expenses of running a business.,
overload,An excessive burden or cargo.,
overseas,Foreign countries across the sea.,
oversight,An unintentional failure to notice something.,
overtime,Time worked beyond normal working hours.,
owl,A nocturnal bird of prey,
owner,A person who possesses something.,
ownership,The act or right of possessing something.,
ox,A domesticated bovine animal.,
oxygen,A chemical element essential for life.,
oyster,A marine mollusk with a rough shell.,
pace,Speed of movement or progress.,
pack,A collection of things wrapped together.,
package,An object wrapped for transport.,
packaging,Materials used to wrap products.,
packet,A small package,
pact,A formal agreement between individuals or parties.,
pad,A thick piece of soft material.,
paddle,A short pole with a flat blade for propelling a boat.,
page,One side of a sheet of paper in a book.,
pageant,A public entertainment consisting of a procession.,
pail,"A container, typically cylindrical, used for carrying liquids.",
pain,Physical suffering or discomfort.,
paint,A colored substance for decorating surfaces.,
painter,A person who paints buildings or creates art.,
painting,A picture created with paint.,
pair,A set of two things used together.,
pajama,Loose clothing worn for sleeping.,
palace,A large and impressive building.,
palm,The inner surface of the hand.,
pamphlet,A small booklet containing information.,
pan,A flat cooking utensil,
panel,A flat piece forming part of a surface.,
panic,Sudden uncontrollable fear or anxiety.,
pansy,A garden plant with colorful flowers.,
panther,A large wild cat,
pantry,A small room for storing food.,
paper,Material made from wood pulp for writing.,
paperback,A book with a flexible cover.,
paperwork,Routine work involving written documents.,
parable,A simple story used to illustrate a moral lesson.,
parachute,A device used to slow descent through air.,
parade,A public procession celebrating something.,
paragraph,A distinct section of writing.,
parallel,A person or thing similar to another.,
parameter,A numerical characteristic of a population.,
paranoia,A mental condition characterized by delusions.,
parcel,An object wrapped for sending by mail.,
parent,A father or mother,
park,A public area of land for recreation.,
parliament,A legislative body of government.,
parlor,A sitting room in a private house.,
parrot,A colorful tropical bird,
part,A piece or segment of something whole.,
participant,A person who takes part in something.,
particle,A minute portion of matter.,
particular,A specific detail or item,
partner,A person who shares in an activity.,
partnership,A association between two or more people.,
party,A social gathering or political organization.,
pass,A route through mountains or a permit.,
passage,A narrow way through something.,
passenger,A traveler in a vehicle,
passion,Strong emotion or enthusiasm.,
passport,An official document for international travel.,
password,A secret word for access,
past,History,
pasta,Italian food made from wheat dough.,
paste,A thick soft mixture,
pastry,Sweet baked food made with dough.,
pasture,Land used for grazing animals.,
pat,A gentle touch with the hand.,
patch,A small piece of material used to repair something.,
path,A way or track laid down for walking.,
patience,The capacity to tolerate delay.,
patient,A person receiving medical treatment.,
patio,An outdoor area adjoining a house.,
patriot,A person who loves their country.,
pattern,A repeated decorative design.,
pavement,A hard surface for roads or walkways.,
pavilion,A building used for entertainment.,
payment,An amount paid or the action of paying.,
payroll,A list of employees and their salaries.,
peace,Peace,
peach,A soft juicy fruit with fuzzy skin.,
peak,The pointed top of a mountain.,
peanut,An edible seed that grows underground.,
pear,A sweet fruit with a narrow top.,
peck,A quick bite or kiss,
pedestrian,A person walking along a road.,
peel,The outer skin of a fruit,
pen,A writing instrument,
pencil,A writing instrument with graphite core.,
pendulum,A weight hung to swing freely.,
penguin,A flightless seabird from cold regions.,
penny,A monetary unit worth one cent.,
percentage,A rate or proportion per hundred.,
performance,The action of performing a task.,
period,A length of time,
person,Person,
personnel,People employed in an organization.,
pet,A domestic animal kept for companionship.,
phone,A device for transmitting speech.,
photo,A picture taken with a camera.,
pick,A choice or selection,
picture,A painting or photograph,
pie,A baked dish with pastry crust.,
pile,A heap of things laid one on another.,
pint,A unit of measurement for liquids.,
plane,A powered flying vehicle,
plant,A living organism that grows in soil.,
play,Activity for enjoyment,
player,A person who plays games or sports.,
plume,A large feather or smoke cloud.,
pocketbook,A woman's purse or small book.,
policeman,A male member of a police force.,
pollen,Fine powder from flowers,
overflow,An excess amount that cannot be contained.,
overture,An orchestral piece at the beginning of an opera.,
pacific,The Pacific Ocean or peaceful nature.,
packing,The action of filling containers with goods.,
pal,A friend or companion,
pale,A wooden stake or boundary.,
pancake,A thin flat cake cooked on a griddle.,
panda,A large black and white bear from China.,
pang,A sudden sharp feeling of pain.,
pantheon,All the gods of a people or a building for them.,
papa,An informal term for father.,
paperweight,A small heavy object for holding papers.,
paradise,An ideal place of complete happiness.,
paradox,A seemingly contradictory statement.,
paraffin,A flammable waxy solid used in candles.,
paralysis,Loss of muscle function in part of the body.,
paranormal,Events beyond scientific understanding.,
parasite,An organism living in another organism.,
parking,The action of leaving a vehicle temporarily.,
parsley,A herb used for flavoring food.,
participation,The action of taking part in something.,
partition,A structure dividing a space.,
pastel,A soft delicate color or drawing medium.,
pasttime,An activity for enjoyment during leisure.,
patent,A government license for an invention.,
pathology,The study of disease,
patrol,The action of walking around an area.,
patron,A person who gives support to an organization.,
paw,An animal's foot,
paycheck,A salary payment,
pea,A small round green vegetable.,
peacock,A large colorful bird,
pearl,A hard object produced within oysters.,
peasant,A poor farmer or agricultural worker.,
pebble,A small smooth stone,
pedagogy,The method and practice of teaching.,
pedal,A lever pressed by the foot.,
peek,A quick or brief look,
peer,A person of the same age or status.,
pelican,A large water bird with a large bill.,
penalty,A punishment for breaking a rule.,
peninsula,A piece of land almost surrounded by water.,
pension,A regular payment to a retired person.,
pepper,A hot spice or sweet vegetable.,
perception,The ability to see or understand.,
perfection,The condition of being without flaws.,
perfume,A fragrant liquid worn on the body.,
perimeter,The outer boundary of an area.,
permission,Consent or authorization to do something.,
permit,An official document giving authorization.,
perpetrator,A person who commits a crime.,
persecution,Hostility and ill-treatment.,
personality,The combination of characteristics forming character.,
perspective,A particular attitude toward something.,
pest,A destructive insect or animal.,
petition,A formal written request,
petroleum,A liquid mixture of hydrocarbons.,
phantom,A ghost or illusion,
